record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference
YE_ACC_2021_012,2021-10-05,22:45,115.3,Km 115,NB,Zone 3 (Mathura - Agra),Mathura,Raya,Baldeo Exit,Fatal,2,2,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_013,2021-11-20,06:00,18.5,Km 18,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Dankaur Rest Stop,Fatal,1,5,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_014,2021-12-14,04:15,95.0,Km 95,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Plaza Barrier,Fatal,2,6,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_015,2021-12-28,05:30,132.8,Km 133,NB,Zone 3 (Mathura - Agra),Agra,Khandauli,Sadabad Flyover,Fatal,4,8,Fog Pileup,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_016,2022-01-09,03:30,14.8,Km 15,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Interchange Ramp,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_017,2022-02-18,04:45,38.2,Km 38,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Toll Plaza Lanes,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_018,2022-03-29,15:10,72.4,Km 72,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Approach,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_019,2022-04-14,23:40,103.5,Km 104,NB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Interchange Slip,Grievous Injury,0,4,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_020,2022-05-22,14:00,121.0,Km 121,SB,Zone 3 (Mathura - Agra),Mathura,Mahavan,Mahavan Overbridge,Fatal,1,2,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_021,2022-06-11,02:20,5.2,Km 5,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Beta-2,Pari Chowk Entry Curve,Grievous Injury,0,3,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_022,2022-07-19,19:15,48.6,Km 49,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal Service Entry,Fatal,1,1,Stationary Vehicle Collision,Rainy,Wet,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_023,2022-08-30,03:50,86.0,Km 86,SB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Canal Bridge,Fatal,2,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_024,2022-09-17,11:30,162.0,Km 162,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Inner Ring Road Junction,Minor Injury,0,2,Negligent Lane Change,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_025,2022-10-24,21:00,108.2,Km 108,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Vrindavan Cut,Fatal,1,3,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_026,2022-11-15,04:20,139.5,Km 140,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Approach,Fatal,3,5,Fog / Poor Visibility,Moderate Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_027,2022-12-08,05:10,29.0,Km 29,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Jewar Airport North Cut,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2022_028,2022-12-21,06:30,81.4,Km 81,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Toll Zone,Fatal,2,7,Fog Multi-Vehicle Crash,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_029,2023-01-16,04:00,14.0,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Flyover,Fatal,1,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_030,2023-02-20,02:45,36.0,Km 36,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Hub,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_031,2023-03-15,13:50,92.5,Km 93,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Approach,Minor Injury,0,2,Tyre Burst,Sunny,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_032,2023-04-18,22:15,148.0,Km 148,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Agra Toll Plaza Entry,Fatal,1,2,Stationary Truck Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_033,2023-05-27,15:30,65.0,Km 65,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Aligarh Border Straight,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_034,2023-06-30,03:15,103.0,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Cut,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_035,2023-07-22,17:40,22.0,Km 22,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Dankaur South,Grievous Injury,0,3,Rain / Hydroplaning,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_036,2023-08-14,01:30,126.5,Km 127,NB,Zone 3 (Mathura - Agra),Mathura,Mahavan,Mahavan Flyover,Fatal,1,1,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_037,2023-09-09,19:00,163.5,Km 164,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Kuberpur Merge,Minor Injury,0,2,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_038,2023-10-12,23:50,47.0,Km 47,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal Interchange Approach,Fatal,1,4,Stationary Vehicle,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_039,2023-11-25,05:45,138.0,Km 138,NB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli North,Fatal,2,5,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2023_040,2023-12-19,06:15,88.0,Km 88,SB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Cut,Fatal,3,6,Fog Multi-Vehicle Crash,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
